"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"2019/20","S92000003","d",3,"SMR04"," ","3765"," ","344.82"," ","2460"," ","225.3"," ","515"," ","47.17"," "
"2019/20","S92000003","d",4,"SMR04"," ","2905"," ","262.51"," ","1960"," ","177.11"," ","425"," ","38.4"," "
"2019/20","S92000003","d",5,"SMR04"," ","2060"," ","188.66"," ","1405"," ","128.68"," ","280"," ","25.64"," "
"2020/21","S92000003","d",1,"SMR04"," ","6700"," ","618.81"," ","4045"," ","373.59"," ","840"," ","77.58"," "
"2020/21","S92000003","d",2,"SMR04"," ","4925"," ","454.43"," ","3080"," ","284.19"," ","735"," ","67.82"," "
"2020/21","S92000003","d",3,"SMR04"," ","3385"," ","310.07"," ","2205"," ","201.98"," ","525"," ","48.09"," "
"2020/21","S92000003","d",4,"SMR04"," ","2580"," ","231.48"," ","1685"," ","151.18"," ","425"," ","38.13"," "
"2020/21","S92000003","d",5,"SMR04"," ","2050"," ","187.51"," ","1285"," ","117.54"," ","310"," ","28.36"," "
"2021/22","S92000003","d",1,"SMR04"," ","6100"," ","566.01"," ","3915"," ","363.27"," ","830"," ","77.01"," "
"2021/22","S92000003","d",2,"SMR04"," ","4710"," ","435.11"," ","3015"," ","278.52"," ","715"," ","66.05"," "
"2021/22","S92000003","d",3,"SMR04"," ","3260"," ","297.01"," ","2165"," ","197.25"," ","540"," ","49.2"," "
"2021/22","S92000003","d",4,"SMR04"," ","2540"," ","224.81"," ","1770"," ","156.66"," ","420"," ","37.17"," "
"2021/22","S92000003","d",5,"SMR04"," ","2015"," ","184.48"," ","1315"," ","120.39"," ","340"," ","31.13"," "
"2022/23","S92000003","d",1,"SMR04"," ","6150"," ","570.65"," ","3910"," ","362.8"," ","845"," ","78.41"," "
"2022/23","S92000003","d",2,"SMR04"," ","4505"," ","416.17"," ","2970"," ","274.37"," ","740"," ","68.36"," "
"2022/23","S92000003","d",3,"SMR04"," ","3160"," ","287.9"," ","2100"," ","191.33"," ","505"," ","46.01"," "
"2022/23","S92000003","d",4,"SMR04"," ","2375"," ","210.21"," ","1680"," ","148.69"," ","380"," ","33.63"," "
"2022/23","S92000003","d",5,"SMR04"," ","1965"," ","179.9"," ","1295"," ","118.56"," ","325"," ","29.76"," "
"1997/98","S08000015"," ",1,"SMR04"," ","960"," ","1109.48"," ","635"," ","733.87"," ","155"," ","179.13"," "
"1997/98","S08000015"," ",2,"SMR04"," ","880"," ","780.72"," ","600"," ","532.31"," ","160"," ","141.95"," "
"1997/98","S08000015"," ",3,"SMR04"," ","415"," ","602.96"," ","290"," ","421.35"," ","70"," ","101.7"," "
"1997/98","S08000015"," ",4,"SMR04"," ","205"," ","375.62"," ","155"," ","284.01"," ","75"," ","137.42"," "
"1997/98","S08000015"," ",5,"SMR04"," ","175"," ","349.27"," ","115"," ","229.52"," ","40"," ","79.83"," "
"1997/98","S08000016"," ",1,"SMR04"," ","35"," ","1086.62"," ","25"," ","776.16"," ","0"," ","0"," "
"1997/98","S08000016"," ",2,"SMR04"," ","60"," ","861.33"," ","40"," ","574.22"," ","10"," ","143.55"," "
"1997/98","S08000016"," ",3,"SMR04"," ","250"," ","698.21"," ","155"," ","432.89"," ","55"," ","153.61"," "
"1997/98","S08000016"," ",4,"SMR04"," ","260"," ","586.39"," ","170"," ","383.41"," ","55"," ","124.04"," "
"1997/98","S08000016"," ",5,"SMR04"," ","105"," ","671.87"," ","70"," ","447.91"," ","20"," ","127.98"," "
"1997/98","S08000017"," ",1,"SMR04"," ","105"," ","845.48"," ","80"," ","644.17"," ","35"," ","281.83"," "
"1997/98","S08000017"," ",2,"SMR04"," ","220"," ","703.03"," ","145"," ","463.36"," ","60"," ","191.74"," "
"1997/98","S08000017"," ",3,"SMR04"," ","315"," ","512.1"," ","225"," ","365.79"," ","110"," ","178.83"," "
"1997/98","S08000017"," ",4,"SMR04"," ","155"," ","451.49"," ","115"," ","334.97"," ","45"," ","131.08"," "
"1997/98","S08000017"," ",5,"SMR04"," ","30"," ","334.6"," ","25"," ","278.83"," ","10"," ","111.53"," "
"1997/98","S08000029"," ",1,"SMR04"," ","420"," ","927.85"," ","260"," ","574.38"," ","75"," ","165.69"," "
"1997/98","S08000029"," ",2,"SMR04"," ","545"," ","678.42"," ","380"," ","473.03"," ","135"," ","168.05"," "
"1997/98","S08000029"," ",3,"SMR04"," ","430"," ","550.53"," ","295"," ","377.69"," ","125"," ","160.04"," "
"1997/98","S08000029"," ",4,"SMR04"," ","290"," ","389.11"," ","200"," ","268.35"," ","95"," ","127.47"," "
"1997/98","S08000029"," ",5,"SMR04"," ","190"," ","278.17"," ","140"," ","204.97"," ","60"," ","87.84"," "
"1997/98","S08000019"," ",1,"SMR04"," ","360"," ","910.79"," ","250"," ","632.5"," ","60"," ","151.8"," "
"1997/98","S08000019"," ",2,"SMR04"," ","475"," ","680.39"," ","295"," ","422.56"," ","90"," ","128.92"," "
"1997/98","S08000019"," ",3,"SMR04"," ","320"," ","559.51"," ","210"," ","367.18"," ","80"," ","139.88"," "
"1997/98","S08000019"," ",4,"SMR04"," ","245"," ","395.07"," ","165"," ","266.07"," ","100"," ","161.25"," "
"1997/98","S08000019"," ",5,"SMR04"," ","195"," ","411.36"," ","115"," ","242.6"," ","40"," ","84.38"," "
"1997/98","S08000020"," ",1,"SMR04"," ","175"," ","744.59"," ","120"," ","510.57"," ","40"," ","170.19"," "
"1997/98","S08000020"," ",2,"SMR04"," ","485"," ","772.55"," ","325"," ","517.69"," ","100"," ","159.29"," "
"1997/98","S08000020"," ",3,"SMR04"," ","610"," ","524.54"," ","435"," ","374.06"," ","125"," ","107.49"," "
"1997/98","S08000020"," ",4,"SMR04"," ","580"," ","375.61"," ","445"," ","288.19"," ","225"," ","145.71"," "
"1997/98","S08000020"," ",5,"SMR04"," ","515"," ","296.84"," ","385"," ","221.91"," ","145"," ","83.58"," "
"1997/98","S08000031"," ",1,"SMR04"," ","4945"," ","962.6"," ","3310"," ","644.33"," ","1155"," ","224.83"," "
"1997/98","S08000031"," ",2,"SMR04"," ","1485"," ","707.85"," ","1055"," ","502.88"," ","395"," ","188.28"," "
"1997/98","S08000031"," ",3,"SMR04"," ","790"," ","529.13"," ","565"," ","378.43"," ","205"," ","137.31"," "
"1997/98","S08000031"," ",4,"SMR04"," ","475"," ","334.93"," ","340"," ","239.74"," ","180"," ","126.92"," "
"1997/98","S08000031"," ",5,"SMR04"," ","585"," ","293.36"," ","405"," ","203.1"," ","160"," ","80.24"," "
"1997/98","S08000022"," ",1,"SMR04"," ","215"," ","1183.33"," ","155"," ","853.1"," ","30"," ","165.12"," "
"1997/98","S08000022"," ",2,"SMR04"," ","485"," ","737.56"," ","350"," ","532.26"," ","85"," ","129.26"," "
"1997/98","S08000022"," ",3,"SMR04"," ","600"," ","542.73"," ","445"," ","402.52"," ","120"," ","108.55"," "
"1997/98","S08000022"," ",4,"SMR04"," ","415"," ","578.64"," ","265"," ","369.49"," ","85"," ","118.52"," "
"1997/98","S08000022"," ",5,"SMR04"," ","115"," ","337.43"," ","90"," ","264.08"," ","20"," ","58.68"," "
"1997/98","S08000032"," ",1,"SMR04"," ","1225"," ","742.5"," ","895"," ","542.48"," ","310"," ","187.9"," "
"1997/98","S08000032"," ",2,"SMR04"," ","850"," ","576.54"," ","560"," ","379.84"," ","235"," ","159.4"," "
"1997/98","S08000032"," ",3,"SMR04"," ","460"," ","391.99"," ","340"," ","289.73"," ","150"," ","127.82"," "
"1997/98","S08000032"," ",4,"SMR04"," ","205"," ","275.44"," ","150"," ","201.54"," ","65"," ","87.33"," "
"1997/98","S08000032"," ",5,"SMR04"," ","115"," ","212.92"," ","90"," ","166.63"," ","25"," ","46.29"," "
